name,capacity_mw,latitude,longitude
Vindhyachal,4760.0,24.0983,82.6719
Mundra,4620.0,22.823,69.5532
Sasan,3960.0,23.9784,82.6275
Tirora,3300.0,21.4129,79.9671
Talcher,3000.0,21.0966,85.074
Rihand,3000.0,24.027,82.7915
Sipat,2980.0,22.13,82.293
ChandrapurCoal,2920.0,20.0063,79.29
Anpara,2630.0,24.201,82.7891
RGundem,2600.0,18.7572,79.456
Korba,2600.0,22.3881,82.6858
ShriSingajiMalwa,2520.0,22.0971,76.5317
Koradi,2400.0,21.2414,79.096
Tamnar,2400.0,22.0987,83.4513
Kudgi,2400.0,16.4994,75.8349
Kahalgaon,2340.0,25.2349,87.2635
Mouda,2320.0,21.1797,79.3978
Chhabra,2320.0,24.6217,77.0357
Farakka,2100.0,24.772,87.894
Simhadri,2000.0,17.591,83.0917
TalwandiSabo,1980.0,29.924,75.2372
Lalitpur,1980.0,24.7971,78.6463
Pryagraj(Bara),1980.0,25.196,81.6594
Dadri(Nctpp),1820.0,28.603,77.6078
Akaltara,1800.0,21.9603,82.4091
KGudemNew,1800.0,17.6219,80.6936
Raichur,1720.0,16.3532,77.3422
Bellary,1700.0,15.1932,76.7195
RayalSeema,1650.0,14.704,78.4577
Sagardighi,1600.0,24.3696,88.1046
